season,match_id,match_name,home_team,away_team,bowling_team,venue,city,country,innings_id,name,fullName,overs,maidens,conceded,wickets,economyRate,dots,foursConceded,sixesConceded,wides,noballs,captain,href
2023,1359483,KKR v RCB,KKR,RCB,RCB,"Eden Gardens, Kolkata",Kolkata,India,1,Mohammed Siraj,Mohammed Siraj,4,0,44,1,11.00,13,6,1,3,1,False,https://www.espncricinfo.com/ci/content/player/940973.html
2023,1359483,KKR v RCB,KKR,RCB,RCB,"Eden Gardens, Kolkata",Kolkata,India,1,DJ Willey,David Willey,4,1,16,2,4.00,15,2,0,1,0,False,https://www.espncricinfo.com/ci/content/player/308251.html
2023,1359483,KKR v RCB,KKR,RCB,RCB,"Eden Gardens, Kolkata",Kolkata,India,1,Akash Deep,Akash Deep,2,0,30,0,15.00,4,2,2,1,2,False,https://www.espncricinfo.com/ci/content/player/1176959.html
2023,1359483,KKR v RCB,KKR,RCB,RCB,"Eden Gardens, Kolkata",Kolkata,India,1,MG Bracewell,Michael Bracewell,3,0,34,1,11.33,3,1,3,0,0,False,https://www.espncricinfo.com/ci/content/player/326968.html
2023,1359483,KKR v RCB,KKR,RCB,RCB,"Eden Gardens, Kolkata",Kolkata,India,1,Shahbaz Ahmed,Shahbaz Ahmed,1,0,6,0,6.00,3,1,0,0,0,False,https://www.espncricinfo.com/ci/content/player/1159711.html
2023,1359483,KKR v RCB,KKR,RCB,RCB,"Eden Gardens, Kolkata",Kolkata,India,1,KV Sharma,Karn Sharma,3,0,26,2,8.66,6,2,1,0,0,False,https://www.espncricinfo.com/ci/content/player/30288.html
2023,1359483,KKR v RCB,KKR,RCB,RCB,"Eden Gardens, Kolkata",Kolkata,India,1,HV Patel,Harshal Patel,3,0,38,1,12.66,5,4,2,1,0,False,https://www.espncricinfo.com/ci/content/player/390481.html
2023,1359483,KKR v RCB,KKR,RCB,KKR,"Eden Gardens, Kolkata",Kolkata,India,2,UT Yadav,Umesh Yadav,2,0,17,0,8.50,5,3,0,0,0,False,https://www.espncricinfo.com/ci/content/player/376116.html
2023,1359483,KKR v RCB,KKR,RCB,KKR,"Eden Gardens, Kolkata",Kolkata,India,2,TG Southee,Tim Southee,2,0,25,0,12.50,5,2,2,0,0,False,https://www.espncricinfo.com/ci/content/player/232364.html
2023,1359483,KKR v RCB,KKR,RCB,KKR,"Eden Gardens, Kolkata",Kolkata,India,2,SP Narine,Sunil Narine,4,0,16,2,4.00,12,1,0,0,0,False,https://www.espncricinfo.com/ci/content/player/230558.html
2023,1359483,KKR v RCB,KKR,RCB,KKR,"Eden Gardens, Kolkata",Kolkata,India,2,CV Varun,Varun Chakravarthy,3.4,0,15,4,4.09,13,2,0,0,0,False,https://www.espncricinfo.com/ci/content/player/1108375.html
