comment_id,match_id,match_name,home_team,away_team,current_innings,innings_id,over,ball,runs,shortText,isBoundary,isWide,isNoball,batsman1_id,batsman1_name,batsman1_runs,batsman1_balls,bowler1_id,bowler1_name,bowler1_overs,bowler1_maidens,bowler1_runs,bowler1_wkts,batsman2_id,batsman2_name,batsman2_runs,batsman2_balls,bowler2_id,bowler2_name,bowler2_overs,bowler2_maidens,bowler2_runs,bowler2_wkts,wicket_id,wkt_batsman_name,wkt_bowler_name,wkt_batsman_runs,wkt_batsman_balls,wkt_text,isRetiredHurt,text,preText,postText
110,1359483,KKR v RCB,KKR,RCB,KKR,1,1,1,0,"Mohammed Siraj to Rahmanullah Gurbaz, no run",False,False,False,974087,Rahmanullah Gurbaz,0,1,940973,Mohammed Siraj,0.1,0,0,0,851403,Venkatesh Iyer,0,0,,,,,,,,,,,,,False,"whoa. <strong>Pace, bounce and movement</strong>. Just short of a length, seam away, and Gurbaz does well to not follow it","<p><strong>7.30pm</strong> KKR have finally got Venkatesh Iyer back up opening. With him is Rahmanullah Gurbaz. Mohammed Siraj has the new ball. Two slips in place.<strong></strong></p><p><strong>7.20pm</strong> This chaos is a good reason why the IPL should follow the sensible method. Teams announce a XII before the toss, and take out one of them after the toss.<br><br>""CricInfo, my word! Y'all almost gave me a heart attack with the wrong playing XI!"" Bodhisatwa Kund, we reported what Nitish Rana said.</p><p><strong>7.10pm</strong> Wait just a minute. Seems Nitish Rana has told us the wrong XI. There is no Suyash Sharma in the official XI shared by KKR. It seems Suyash would have started if they had been chasing. Now it is Venkatesh Iyer. We look forward to the 19-year-old Suyash bowl legspin as an Impact Player. </p><p><strong>7pm</strong> Time for the toss. The match referee seems to have misheard the call. Sanjay Manjrekar, the commentator conducting the toss, helps out. So eventually <strong>Faf du Plessis has won the toss, and RCB will be chasing</strong>. As expected, David Willey comes in for Reece Topley.<br><br>Nitish Rana says he would have fielded himself. Legspinner Suyash Sharma makes his debut, replacing Anukul Roy. That is the only change for KKR.<br><br><strong>Kolkata Knight Riders</strong> Mandeep Singh, Rahmanullah Gurbaz†, N Rana*, RK Singh, AD Russell, SN Thakur, SP Narine, Venkatesh Iyer, TG Southee, UT Yadav, CV Varun<br><br><strong>RCB</strong> V Kohli, F du Plessis*, KD Karthik†, GJ Maxwell, MG Bracewell, Shahbaz Ahmed, HV Patel, DJ Willey, Akash Deep, Mohammed Siraj, KV Sharma</p><p><strong>6.55pm</strong> Five minutes to the toss, and here is the pitch report. First let's tell you this is not the centre pitch on the square. One boundary is as short as 54m. Will pay to have right-left batting combinations. Danny Morrison, looking at the pitch, says 200 might be the bare minimum.</p>
<div class=""embedded-media-card"" data-id=""1101"" data-source=""twitter"" data-url=""https://twitter.com/sreshthx/status/1643955957037424641""></div>
<p><strong>6.40pm</strong> Let's jump straight to team news. RCB have got off to a good start with a win in their first match, but have since received news that Rajat Patidar is ruled out of the season. Josh Hazlewood and Wanindu Hasaranga are yet to join the squad, and Reece Topley injured himself too. David Willey should take Topley's place for this match.<br><br>KKR have signed up Jason Roy, but he won't be available for this match. Lockie Ferguson still doesn't look fully fit.</p><p><strong>6.30pm</strong> Day 7, Match 9. Finally it is the turn of KKR to play in front of their home crowd at Eden Gardens. It's KKR vs RCB, a rivalry - on top off my head - known for one-sided finishes and snarky tweets aimed at each other. Here is hoping for closer finish. They can tweet snarkily all they want.</p>",
120,1359483,KKR v RCB,KKR,RCB,KKR,1,1,2,0,"Mohammed Siraj to Rahmanullah Gurbaz, no run",False,False,False,974087,Rahmanullah Gurbaz,0,2,940973,Mohammed Siraj,0.2,0,0,0,851403,Venkatesh Iyer,0,0,,,,,,,,,,,,,False,okay this one stays low as Gurbaz leaves it alone outside off,,
140,1359483,KKR v RCB,KKR,RCB,KKR,1,1,3,0,"Mohammed Siraj to Rahmanullah Gurbaz, no run",False,False,False,974087,Rahmanullah Gurbaz,0,3,940973,Mohammed Siraj,0.3,0,5,0,851403,Venkatesh Iyer,0,0,,,,,,,,,,,,,False,outswinger. On the money. Left alone outside off,,
130,1359483,KKR v RCB,KKR,RCB,KKR,1,1,3,5,"Mohammed Siraj to Rahmanullah Gurbaz, 5 wides",False,True,False,974087,Rahmanullah Gurbaz,0,2,940973,Mohammed Siraj,0.2,0,5,0,851403,Venkatesh Iyer,0,0,,,,,,,,,,,,,False,"that is wild. Gurbaz looks to step down to counter the movement, but Siraj slips down leg, and the ball keeps moving away from the keeper. They would have needed a leg gully to stop this",,
150,1359483,KKR v RCB,KKR,RCB,KKR,1,1,4,0,"Mohammed Siraj to Rahmanullah Gurbaz, no run",False,False,False,974087,Rahmanullah Gurbaz,0,4,940973,Mohammed Siraj,0.4,0,5,0,851403,Venkatesh Iyer,0,0,,,,,,,,,,,,,False,"just short of a length, outside off, pushed to point","<p>""Why does teams name a foreigner as an Impact player list when they already have 4 foreigners in their playing XI? "" Kamalesh, you can substitute an overseas player with an overseas player if the original player has had no part to play in the game. For example if they have not batted.</p>",
160,1359483,KKR v RCB,KKR,RCB,KKR,1,1,5,4,"Mohammed Siraj to Rahmanullah Gurbaz, FOUR",True,False,False,974087,Rahmanullah Gurbaz,4,5,940973,Mohammed Siraj,0.5,0,9,0,851403,Venkatesh Iyer,0,0,,,,,,,,,,,,,False,"what outfield. Short of a length, some width there, Gurbaz throws his hands at it, Willey at deep third has not far to go to cover it, but he is rushed into it. He does so, gets behind the ball, is down to field it, but gets a bad bounce, which defeats him and goes for four",,
170,1359483,KKR v RCB,KKR,RCB,KKR,1,1,6,0,"Mohammed Siraj to Rahmanullah Gurbaz, no run",False,False,False,974087,Rahmanullah Gurbaz,4,6,940973,Mohammed Siraj,1.0,0,9,0,851403,Venkatesh Iyer,0,0,,,,,,,,,,,,,False,perfect delivery. Outswinger ending on top of off. Gurbaz has to defend it,,
11010,1359483,KKR v RCB,KKR,RCB,KKR,1,2,1,0,"Willey to Iyer, no run",False,False,False,851403,Venkatesh Iyer,0,1,308251,David Willey,0.1,0,0,0,974087,Rahmanullah Gurbaz,4,6,940973.0,Mohammed Siraj,1.0,0.0,9.0,0.0,,,,,,,False,"looks for swing. Middle and off, on a length, but it goes with the angle. Pushed to mid-on",<p>David Willey to bowl. One wide slip in place</p>,
11020,1359483,KKR v RCB,KKR,RCB,KKR,1,2,2,1,"Willey to Iyer, 1 run",False,False,False,851403,Venkatesh Iyer,1,2,308251,David Willey,0.2,0,1,0,974087,Rahmanullah Gurbaz,4,6,940973.0,Mohammed Siraj,1.0,0.0,9.0,0.0,,,,,,,False,"slightly short of a length, pushed past midwicket for one",,
11030,1359483,KKR v RCB,KKR,RCB,KKR,1,2,3,0,"Willey to Rahmanullah Gurbaz, no run",False,False,False,974087,Rahmanullah Gurbaz,4,7,308251,David Willey,0.3,0,1,0,851403,Venkatesh Iyer,1,2,940973.0,Mohammed Siraj,1.0,0.0,9.0,0.0,,,,,,,False,"pushed to mid-on, sent back, and rightly so",,
