season,id,name,short_name,description,home_team,away_team,toss_won,decision,1st_inning_score,2nd_inning_score,home_score,away_score,winner,result,start_date,end_date,venue_id,venue_name,home_captain,away_captain,pom,points,super_over,home_overs,home_runs,home_wickets,home_boundaries,away_overs,away_runs,away_wickets,away_boundaries,highlights,home_key_batsman,home_key_bowler,home_playx1,away_playx1,away_key_batsman,away_key_bowler,match_days,umpire1,umpire2,tv_umpire,referee,reserve_umpire
2023,1359483,Kolkata Knight Riders v Royal Challengers Bangalore,KKR v RCB,"9th Match (N), Indian Premier League at Kolkata, Apr 6 2023",KKR,RCB,Royal Challengers Bangalore,BOWL FIRST,204/7,123,204/7,123,KKR,KKR won by 81 runs,2023-04-06T14:00Z,2023-04-07T23:59Z,57980,"Eden Gardens, Kolkata",Nitish Rana,Faf du Plessis,Shardul Thakur,"Kolkata Knight Riders 2, Royal Challengers Bangalore 0",False,20,204,7,27,17.4,123,10,16,"Shardul and spinners dismantle RCB. Coming in at 89 for 5, Shardul smashed 68 off 29 before Narine, Varun and Suyash derailed Royal Challengers' chase","Shardul Thakur,Rahmanullah Gurbaz","Varun Chakravarthy,Suyash Sharma","Rahmanullah Gurbaz (WK),Venkatesh Iyer (AR),Mandeep Singh (AR),Nitish Rana (UKN),Rinku Singh (UKN),Andre Russell (AR),Shardul Thakur (BL),Sunil Narine (AR),Umesh Yadav (BL),Tim Southee (BL),Varun Chakravarthy (BL),Suyash Sharma (BL)","Virat Kohli (UKN),Faf du Plessis (UKN),Michael Bracewell (AR),Glenn Maxwell (AR),Harshal Patel (BL),Shahbaz Ahmed (AR),Dinesh Karthik (WK),Anuj Rawat (UKN),David Willey (AR),Karn Sharma (BL),Akash Deep (AR),Mohammed Siraj (BL)","Faf du Plessis,Virat Kohli","David Willey,Karn Sharma",06 April 2023 - night match (20-over match),Virender Sharma,Vinod Seshan,Nitin Menon,Shakti Singh,Abhijit Bengeri
,1359484,Lucknow Super Giants v Sunrisers Hyderabad,LSG v SRH,"10th Match (N), Indian Premier League at Lucknow, Apr 7 2023",LSG,SRH,,,,,,,SRH,Starts at 19:30 local time,2023-04-07T14:00Z,2023-04-08T23:59Z,1070094,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",,,,,,,,,,,,,,,,,,,,,,,,,,
,1359485,Rajasthan Royals v Delhi Capitals,RR v DC,"11th Match (D/N), Indian Premier League at Guwahati, Apr 8 2023",RR,DC,,,,,,,DC,Starts at 15:30 local time,2023-04-08T10:00Z,2023-04-09T23:59Z,680295,"Barsapara Cricket Stadium, Guwahati",,,,,,,,,,,,,,,,,,,,,,,,,,
,1359486,Mumbai Indians v Chennai Super Kings,MI v CSK,"12th Match (N), Indian Premier League at Mumbai, Apr 8 2023",MI,CSK,,,,,,,CSK,Starts at 19:30 local time,2023-04-08T14:00Z,2023-04-09T23:59Z,58324,"Wankhede Stadium, Mumbai",,,,,,,,,,,,,,,,,,,,,,,,,,
,1359487,Gujarat Titans v Kolkata Knight Riders,GT v KKR,"13th Match (D/N), Indian Premier League at Ahmedabad, Apr 9 2023",GT,KKR,,,,,,,KKR,Starts at 15:30 local time,2023-04-09T10:00Z,2023-04-10T23:59Z,57851,"Narendra Modi Stadium, Motera, Ahmedabad",,,,,,,,,,,,,,,,,,,,,,,,,,
,1359488,Sunrisers Hyderabad v Punjab Kings,SRH v PBKS,"14th Match (N), Indian Premier League at Hyderabad, Apr 9 2023",SRH,PBKS,,,,,,,PBKS,Starts at 19:30 local time,2023-04-09T14:00Z,2023-04-10T23:59Z,58142,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",,,,,,,,,,,,,,,,,,,,,,,,,,
,1359489,Royal Challengers Bangalore v Lucknow Super Giants,RCB v LSG,"15th Match (N), Indian Premier League at Bengaluru, Apr 10 2023",RCB,LSG,,,,,,,LSG,Starts at 19:30 local time,2023-04-10T14:00Z,2023-04-11T23:59Z,57897,"M.Chinnaswamy Stadium, Bengaluru",,,,,,,,,,,,,,,,,,,,,,,,,,
,1359490,Delhi Capitals v Mumbai Indians,DC v MI,"16th Match (N), Indian Premier League at Delhi, Apr 11 2023",DC,MI,,,,,,,MI,Starts at 19:30 local time,2023-04-11T14:00Z,2023-04-12T23:59Z,58040,"Arun Jaitley Stadium, Delhi",,,,,,,,,,,,,,,,,,,,,,,,,,
,1359491,Chennai Super Kings v Rajasthan Royals,CSK v RR,"17th Match (N), Indian Premier League at Chennai, Apr 12 2023",CSK,RR,,,,,,,RR,Starts at 19:30 local time,2023-04-12T14:00Z,2023-04-13T23:59Z,58008,"MA Chidambaram Stadium, Chepauk, Chennai",,,,,,,,,,,,,,,,,,,,,,,,,,
,1359492,Punjab Kings v Gujarat Titans,PBKS v GT,"18th Match (N), Indian Premier League at Chandigarh, Apr 13 2023",PBKS,GT,,,,,,,GT,Starts at 19:30 local time,2023-04-13T14:00Z,2023-04-14T23:59Z,57991,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",,,,,,,,,,,,,,,,,,,,,,,,,,
,1359493,Kolkata Knight Riders v Sunrisers Hyderabad,KKR v SRH,"19th Match (N), Indian Premier League at Kolkata, Apr 14 2023",KKR,SRH,,,,,,,SRH,Starts at 19:30 local time,2023-04-14T14:00Z,2023-04-15T23:59Z,57980,"Eden Gardens, Kolkata",,,,,,,,,,,,,,,,,,,,,,,,,,
,1359494,Royal Challengers Bangalore v Delhi Capitals,RCB v DC,"20th Match (D/N), Indian Premier League at Bengaluru, Apr 15 2023",RCB,DC,,,,,,,DC,Starts at 15:30 local time,2023-04-15T10:00Z,2023-04-16T23:59Z,57897,"M.Chinnaswamy Stadium, Bengaluru",,,,,,,,,,,,,,,,,,,,,,,,,,
,1359495,Lucknow Super Giants v Punjab Kings,LSG v PBKS,"21st Match (N), Indian Premier League at Lucknow, Apr 15 2023",LSG,PBKS,,,,,,,PBKS,Starts at 19:30 local time,2023-04-15T14:00Z,2023-04-16T23:59Z,1070094,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",,,,,,,,,,,,,,,,,,,,,,,,,,
,1359496,Mumbai Indians v Kolkata Knight Riders,MI v KKR,"22nd Match (D/N), Indian Premier League at Mumbai, Apr 16 2023",MI,KKR,,,,,,,KKR,Starts at 15:30 local time,2023-04-16T10:00Z,2023-04-17T23:59Z,58324,"Wankhede Stadium, Mumbai",,,,,,,,,,,,,,,,,,,,,,,,,,
,1359497,Gujarat Titans v Rajasthan Royals,GT v RR,"23rd Match (N), Indian Premier League at Ahmedabad, Apr 16 2023",GT,RR,,,,,,,RR,Starts at 19:30 local time,2023-04-16T14:00Z,2023-04-17T23:59Z,57851,"Narendra Modi Stadium, Motera, Ahmedabad",,,,,,,,,,,,,,,,,,,,,,,,,,
,1359498,Royal Challengers Bangalore v Chennai Super Kings,RCB v CSK,"24th Match (N), Indian Premier League at Bengaluru, Apr 17 2023",RCB,CSK,,,,,,,CSK,Starts at 19:30 local time,2023-04-17T14:00Z,2023-04-18T23:59Z,57897,"M.Chinnaswamy Stadium, Bengaluru",,,,,,,,,,,,,,,,,,,,,,,,,,
,1359499,Sunrisers Hyderabad v Mumbai Indians,SRH v MI,"25th Match (N), Indian Premier League at Hyderabad, Apr 18 2023",SRH,MI,,,,,,,MI,Starts at 19:30 local time,2023-04-18T14:00Z,2023-04-19T23:59Z,58142,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",,,,,,,,,,,,,,,,,,,,,,,,,,
,1359500,Rajasthan Royals v Lucknow Super Giants,RR v LSG,"26th Match (N), Indian Premier League at Jaipur, Apr 19 2023",RR,LSG,,,,,,,LSG,Starts at 19:30 local time,2023-04-19T14:00Z,2023-04-20T23:59Z,58162,"Sawai Mansingh Stadium, Jaipur",,,,,,,,,,,,,,,,,,,,,,,,,,
,1359501,Punjab Kings v Royal Challengers Bangalore,PBKS v RCB,"27th Match (D/N), Indian Premier League at Chandigarh, Apr 20 2023",PBKS,RCB,,,,,,,RCB,Starts at 15:30 local time,2023-04-20T10:00Z,2023-04-21T23:59Z,57991,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",,,,,,,,,,,,,,,,,,,,,,,,,,
,1359502,Delhi Capitals v Kolkata Knight Riders,DC v KKR,"28th Match (N), Indian Premier League at Delhi, Apr 20 2023",DC,KKR,,,,,,,KKR,Starts at 19:30 local time,2023-04-20T14:00Z,2023-04-21T23:59Z,58040,"Arun Jaitley Stadium, Delhi",,,,,,,,,,,,,,,,,,,,,,,,,,
,1359503,Chennai Super Kings v Sunrisers Hyderabad,CSK v SRH,"29th Match (N), Indian Premier League at Chennai, Apr 21 2023",CSK,SRH,,,,,,,SRH,Starts at 19:30 local time,2023-04-21T14:00Z,2023-04-22T23:59Z,58008,"MA Chidambaram Stadium, Chepauk, Chennai",,,,,,,,,,,,,,,,,,,,,,,,,,
,1359504,Lucknow Super Giants v Gujarat Titans,LSG v GT,"30th Match (D/N), Indian Premier League at Lucknow, Apr 22 2023",LSG,GT,,,,,,,GT,Starts at 15:30 local time,2023-04-22T10:00Z,2023-04-23T23:59Z,1070094,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",,,,,,,,,,,,,,,,,,,,,,,,,,
,1359505,Mumbai Indians v Punjab Kings,MI v PBKS,"31st Match (N), Indian Premier League at Mumbai, Apr 22 2023",MI,PBKS,,,,,,,PBKS,Starts at 19:30 local time,2023-04-22T14:00Z,2023-04-23T23:59Z,58324,"Wankhede Stadium, Mumbai",,,,,,,,,,,,,,,,,,,,,,,,,,
,1359506,Royal Challengers Bangalore v Rajasthan Royals,RCB v RR,"32nd Match (D/N), Indian Premier League at Bengaluru, Apr 23 2023",RCB,RR,,,,,,,RR,Starts at 15:30 local time,2023-04-23T10:00Z,2023-04-24T23:59Z,57897,"M.Chinnaswamy Stadium, Bengaluru",,,,,,,,,,,,,,,,,,,,,,,,,,
,1359507,Kolkata Knight Riders v Chennai Super Kings,KKR v CSK,"33rd Match (N), Indian Premier League at Kolkata, Apr 23 2023",KKR,CSK,,,,,,,CSK,Starts at 19:30 local time,2023-04-23T14:00Z,2023-04-24T23:59Z,57980,"Eden Gardens, Kolkata",,,,,,,,,,,,,,,,,,,,,,,,,,
,1359508,Sunrisers Hyderabad v Delhi Capitals,SRH v DC,"34th Match (N), Indian Premier League at Hyderabad, Apr 24 2023",SRH,DC,,,,,,,DC,Starts at 19:30 local time,2023-04-24T14:00Z,2023-04-25T23:59Z,58142,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",,,,,,,,,,,,,,,,,,,,,,,,,,
,1359509,Gujarat Titans v Mumbai Indians,GT v MI,"35th Match (N), Indian Premier League at Ahmedabad, Apr 25 2023",GT,MI,,,,,,,MI,Starts at 19:30 local time,2023-04-25T14:00Z,2023-04-26T23:59Z,57851,"Narendra Modi Stadium, Motera, Ahmedabad",,,,,,,,,,,,,,,,,,,,,,,,,,
,1359510,Royal Challengers Bangalore v Kolkata Knight Riders,RCB v KKR,"36th Match (N), Indian Premier League at Bengaluru, Apr 26 2023",RCB,KKR,,,,,,,KKR,Starts at 19:30 local time,2023-04-26T14:00Z,2023-04-27T23:59Z,57897,"M.Chinnaswamy Stadium, Bengaluru",,,,,,,,,,,,,,,,,,,,,,,,,,
,1359511,Rajasthan Royals v Chennai Super Kings,RR v CSK,"37th Match (N), Indian Premier League at Jaipur, Apr 27 2023",RR,CSK,,,,,,,CSK,Starts at 19:30 local time,2023-04-27T14:00Z,2023-04-28T23:59Z,58162,"Sawai Mansingh Stadium, Jaipur",,,,,,,,,,,,,,,,,,,,,,,,,,
,1359512,Punjab Kings v Lucknow Super Giants,PBKS v LSG,"38th Match (N), Indian Premier League at Chandigarh, Apr 28 2023",PBKS,LSG,,,,,,,LSG,Starts at 19:30 local time,2023-04-28T14:00Z,2023-04-29T23:59Z,57991,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",,,,,,,,,,,,,,,,,,,,,,,,,,
,1359513,Kolkata Knight Riders v Gujarat Titans,KKR v GT,"39th Match (D/N), Indian Premier League at Kolkata, Apr 29 2023",KKR,GT,,,,,,,GT,Starts at 15:30 local time,2023-04-29T10:00Z,2023-04-30T23:59Z,57980,"Eden Gardens, Kolkata",,,,,,,,,,,,,,,,,,,,,,,,,,
